campus,place_id,name,site,category,borough,street,city,postal_code,state,latitude,longitude,verified
Penn State University Park,ChIJJw802aGozokRScjNZ5bnUq0,RISE at State College,https://www.risestatecollege.com/,Apartment complex,,532 E College Ave,State College,16801,Pennsylvania,40.7998517,-77.85393119999999,True
Penn State University Park,ChIJG1mlGlmpzokReCWncsdWV4c,The Standard at State College,https://www.thestandardstatecollege.com/?utm_source=GoogleMyBusiness,Student housing center,,330 W College Ave,State College,16801,Pennsylvania,40.7919718,-77.86435829999999,True
Penn State University Park,ChIJj3sH4h2mzokRn27xCq0-ZPE,Calder Commons Apartments,http://www.caldercommons.com/,Apartment building,,520 E Calder Way,State College,16801,Pennsylvania,40.7997627,-77.8531637,True
Penn State University Park,ChIJ_6ilhpCozokRsa-n2GaKOok,Westside Village Apartments,http://www.westsidevillage.com/,Student housing center,,140 N Gill St,State College,16801,Pennsylvania,40.7905084,-77.8690471,True
Penn State University Park,ChIJb4DgsKCozokRUgz_Y5Vnf04,Associated Realty Property Management,https://www.arpm.com/,Property management company,,456 E Beaver Ave,State College,16801,Pennsylvania,40.7976976,-77.8540809,True
Penn State University Park,ChIJ28QMEbyozokRvv0bOBv6TUc,Parkway Plaza Student Apartments,https://www.liveparkwayplaza.com/?y_source=1_MjIzODgwNTctNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,Apartment building,,1000 Plaza Dr,State College,16801,Pennsylvania,40.7847053,-77.85472829999999,True
Penn State University Park,ChIJ9R-h3h-mzokRi62pJlejNJE,Simmons Hall,https://liveon.psu.edu/university-park/housing/simmons-hall,Student dormitory,University Park,Simmons Hall,State College,16801,Pennsylvania,40.7993394,-77.8578825,False
Penn State University Park,ChIJ6Q97ktGnzokRHlA9VfQKV6Y,The Pointe at State College,https://www.pointestatecollege.com/%3Fswitch_cls%5Bid%5D%3D67805%26utm_source%3DGoogleLocalListing%26utm_medium%3Dorganic,Apartment rental agency,,501 Vairo Blvd,State College,16803,Pennsylvania,40.8108797,-77.8904517,True
Penn State University Park,ChIJNfA2bXaozokR7LIjNd9cpmk,Park Forest Apartments,https://www.apartmentsstatecollege.com/park-forest-apartments,Apartment complex,,901 W Aaron Dr,State College,16803,Pennsylvania,40.8038665,-77.8974915,True
Penn State University Park,ChIJo_oi2amnzokRp_RT3egfQFY,The Valley Apartments & Townhomes,http://www.thevalleystatecollege.com/,Student housing center,,870 Toftrees Ave,State College,16803,Pennsylvania,40.8215794,-77.8842295,True
Penn State University Park,ChIJ3x9p2aOozokRhHZ6N-Co2sU,the co.space,http://www.thecospace.com/,Housing cooperative,,244 E Nittany Ave,State College,16801,Pennsylvania,40.7938047,-77.8552624,True
Penn State University Park,ChIJjaTIl8GozokRQHMv60Ra9xo,Southgate Apartments,https://www.studenthousingstatecollege.com/,Apartment complex,,"Southgate Apartments, 713 Southgate Dr",State College,16801,Pennsylvania,40.7767026,-77.8591393,True
Penn State University Park,ChIJFy5qqaGozokR77-LH36tZYU,"Property Management, Inc",http://www.rentpmi.com/,Property management company,,317 E Beaver Ave,State College,16801,Pennsylvania,40.796076,-77.8569977,True
Penn State University Park,ChIJywqAqaCozokRRoRR_ZhhcQ8,The Legacy at State College,https://www.thelegacystatecollege.com/?utm_source=GoogleMyBusiness,Student housing center,,478 E Calder Way,State College,16801,Pennsylvania,40.7987218,-77.8544379,True
